,number,values_0,values_1,datetime_start,datetime_complete,duration,params_checks,params_n_ratio,params_nskip,params_trees,params_w1,params_w2,system_attrs_nsga2:generation,system_attrs_nsga2:parents,state
112,112,0.23837220016064262,2.7311296463012695,2021-06-19 13:18:32.435575,2021-06-19 13:18:35.167854,0 days 00:00:02.732279,10,0.7815688639630782,10,12,20,23,2,"[40, 47]",COMPLETE
113,113,0.26228137994209266,3.0231645107269287,2021-06-19 13:18:35.169120,2021-06-19 13:18:38.193087,0 days 00:00:03.023967,60,0.7268184875848873,6,7,13,26,2,"[3, 3]",COMPLETE
114,114,0.3291172005528568,3.222452402114868,2021-06-19 13:18:38.194351,2021-06-19 13:18:41.417812,0 days 00:00:03.223461,60,0.7268184875848873,6,13,13,2,2,"[3, 3]",COMPLETE
115,115,0.3346362476898866,2.5584049224853516,2021-06-19 13:18:41.419074,2021-06-19 13:18:43.978610,0 days 00:00:02.559536,20,0.6314256997385901,10,1,17,1,2,"[75, 21]",COMPLETE
116,116,0.2718209864084024,2.665663003921509,2021-06-19 13:18:43.979483,2021-06-19 13:18:46.646286,0 days 00:00:02.666803,50,0.7851852508309797,10,15,17,12,2,"[97, 10]",COMPLETE
117,117,0.24280064169672388,2.877586603164673,2021-06-19 13:18:46.647467,2021-06-19 13:18:49.526180,0 days 00:00:02.878713,20,0.8181318708590011,8,12,22,25,2,"[35, 26]",COMPLETE
118,118,0.3048719037088137,2.6831672191619873,2021-06-19 13:18:49.527218,2021-06-19 13:18:52.211408,0 days 00:00:02.684190,90,0.6933678716519128,10,8,17,3,2,"[45, 61]",COMPLETE
119,119,0.29819699773567937,3.490701198577881,2021-06-19 13:18:52.212605,2021-06-19 13:18:55.704608,0 days 00:00:03.492003,20,0.9119464428743755,5,15,5,12,2,"[41, 21]",COMPLETE
120,120,0.27832054457402544,2.981696605682373,2021-06-19 13:18:55.705868,2021-06-19 13:18:58.688567,0 days 00:00:02.982699,100,0.6670947403626581,8,11,8,14,2,"[92, 70]",COMPLETE
121,121,0.2702655720983575,2.76568865776062,2021-06-19 13:18:58.689830,2021-06-19 13:19:01.456770,0 days 00:00:02.766940,60,0.7815688639630782,9,12,18,15,2,"[47, 84]",COMPLETE
122,122,0.2854833965711542,4.927307367324829,2021-06-19 13:19:01.458041,2021-06-19 13:19:06.386499,0 days 00:00:04.928458,20,0.9867075203420317,3,9,22,27,2,"[41, 84]",COMPLETE
123,123,0.3333609581856633,4.699164867401123,2021-06-19 13:19:06.387761,2021-06-19 13:19:11.088281,0 days 00:00:04.700520,70,0.6405032445183151,2,12,2,10,2,"[64, 18]",COMPLETE
124,124,0.279056289849511,2.7175791263580322,2021-06-19 13:19:11.089394,2021-06-19 13:19:13.807993,0 days 00:00:02.718599,10,0.769694128249329,8,1,14,14,2,"[2, 67]",COMPLETE
125,125,0.2578467199131006,3.275336503982544,2021-06-19 13:19:13.808840,2021-06-19 13:19:17.085408,0 days 00:00:03.276568,90,0.7815688639630782,6,12,25,26,2,"[3, 64]",COMPLETE
126,126,0.24246895163405427,2.771580219268799,2021-06-19 13:19:17.086557,2021-06-19 13:19:19.859138,0 days 00:00:02.772581,40,0.8344129800998359,8,7,0,29,2,"[4, 55]",COMPLETE
127,127,0.2964633608025385,3.1267828941345215,2021-06-19 13:19:19.860430,2021-06-19 13:19:22.988168,0 days 00:00:03.127738,60,0.7268184875848873,6,7,8,10,2,"[3, 1]",COMPLETE
128,128,0.27540815035739713,2.932711124420166,2021-06-19 13:19:22.989340,2021-06-19 13:19:25.923265,0 days 00:00:02.933925,90,0.6707151259602254,8,9,22,14,2,"[56, 26]",COMPLETE
129,129,0.26874027113430654,2.9618635177612305,2021-06-19 13:19:25.924362,2021-06-19 13:19:28.887213,0 days 00:00:02.962851,70,0.9550011937710494,10,12,9,14,2,"[47, 67]",COMPLETE
130,130,0.27263548234784735,3.3954992294311523,2021-06-19 13:19:28.888518,2021-06-19 13:19:32.285141,0 days 00:00:03.396623,0,0.6707151259602254,5,15,5,25,2,"[84, 79]",COMPLETE
131,131,0.32530263921650054,2.705838918685913,2021-06-19 13:19:32.286397,2021-06-19 13:19:34.993238,0 days 00:00:02.706841,70,0.7815688639630782,10,12,9,2,2,"[64, 47]",COMPLETE
132,132,0.2635535553021299,2.769515037536621,2021-06-19 13:19:34.994512,2021-06-19 13:19:37.764975,0 days 00:00:02.770463,10,0.8181318708590011,8,12,10,20,2,"[35, 70]",COMPLETE
133,133,0.26442252365511904,3.0106167793273926,2021-06-19 13:19:37.766251,2021-06-19 13:19:40.778049,0 days 00:00:03.011798,50,0.9867075203420317,10,1,17,15,2,"[97, 61]",COMPLETE
134,134,0.32056476532640027,2.6669578552246094,2021-06-19 13:19:40.778980,2021-06-19 13:19:43.446968,0 days 00:00:02.667988,20,0.7492482924832433,8,1,10,5,2,"[70, 54]",COMPLETE
135,135,0.2755539643836105,3.739499807357788,2021-06-19 13:19:43.448036,2021-06-19 13:19:47.188635,0 days 00:00:03.740599,10,0.9867075203420317,6,6,10,20,2,"[91, 70]",COMPLETE
136,136,0.23459272006495868,2.758462429046631,2021-06-19 13:19:47.189717,2021-06-19 13:19:49.949153,0 days 00:00:02.759436,10,0.7044121314824888,8,9,14,30,2,"[37, 40]",COMPLETE
137,137,0.2549072096940973,3.3099515438079834,2021-06-19 13:19:49.950428,2021-06-19 13:19:53.261482,0 days 00:00:03.311054,10,0.9867075203420317,8,1,8,24,2,"[41, 40]",COMPLETE
138,138,0.27669819173768395,3.642951250076294,2021-06-19 13:19:53.262758,2021-06-19 13:19:56.906721,0 days 00:00:03.643963,70,0.7735969047093239,4,12,9,27,2,"[47, 46]",COMPLETE
